Titre,Labels,Content
Risque industriel sur l’agglomération,"risque industriel, Seveso, produits chimiques, hydrocarbures, pollution, explosion, incendie","L’agglomération nantaise comporte de nombreux établissements fabriquant ou utilisant des produits chimiques dangereux, stockant des hydrocarbures ou disposant de réserves de gaz. Un accident industriel peut prendre la forme d’une explosion, d’un incendie ou d’un rejet de produits toxiques dans l’air, l’eau ou le sol. Les effets peuvent être dramatiques : brûlures, asphyxie, pollutions importantes et conséquences économiques majeures. Les établissements les plus dangereux sont soumis à une réglementation sévère, contrôlés par les services de l’État et les pompiers, et intégrés dans des plans d’urgence régulièrement exercés."
Entreprises Seveso proches de l’agglomération,"Seveso, Montoir-de-Bretagne, Donges, vents dominants, agglomération nantaise","Même s’il existe peu d’entreprises situées au sommet de l’échelle de danger sur le territoire immédiat, plusieurs entreprises classées Seveso sont implantées dans les zones industrielles de Montoir-de-Bretagne et de Donges. En raison des vents dominants, un accident sur ces sites pourrait avoir des impacts sur l’agglomération nantaise."
Risque de transport de matières dangereuses,"transport de matières dangereuses, route, voie ferrée, voie navigable, canalisation, camions","Le transport de matières dangereuses constitue un risque mobile concernant les routes, les voies ferrées, les voies navigables ainsi que les canalisations de gaz et de pétrole. Le risque est plus important à proximité des zones industrielles et des grands axes de circulation, mais un accident peut se produire n’importe où. Toutes les communes de l’agglomération sont concernées. La circulation de ces matières est réglementée par des accords européens et peut aussi faire l’objet d’arrêtés du préfet ou du maire."
Identifier un transport de matières dangereuses et alerter les secours,"plaques de danger, pictogramme, numéro ONU, témoin d'accident, alerter les secours","La nature des produits transportés est identifiée sur les véhicules par des codes et un pictogramme. Si vous êtes témoin d’un accident impliquant des matières dangereuses, vous devez d’abord vous mettre en sécurité puis communiquer aux secours les éléments observés : lieu exact, moyens de transport concernés, nature du sinistre comme fuite, feu ou explosion, ainsi que les informations de plaque ou d’étiquetage si elles sont visibles sans se mettre en danger."
Numéros utiles et sources d’information locale,"numéros d'urgence, pompiers, 112, police, SAMU, mairie, préfecture, Nantes Métropole","Les numéros utiles mentionnés dans le document comprennent notamment les pompiers au 18, le numéro européen des secours au 112, la police ou gendarmerie au 17, le SAMU au 15, Nantes Métropole, la Préfecture, ainsi que les urgences dépannage électricité et gaz. Le document indique également les coordonnées de la mairie du Pellerin et renvoie vers plusieurs sources d’information complémentaires : Nantes Métropole, la Préfecture de Loire-Atlantique, les plans de prévention des risques, le portail national de la prévention des risques majeurs et la loi de modernisation de la sécurité civile."
"Consignes communes à tous les risques : avant, pendant, après","consignes de sécurité, kit d’urgence, confinement, évacuation, entraide","Avant un événement, il faut prévoir les équipements minimums : téléphone portable, radio avec piles, lampe de poche, bouteilles d’eau, copie des papiers personnels, médicaments urgents, couvertures, vêtements de rechange et matériel de confinement. Il faut aussi s’informer en mairie sur le PCS, les risques encourus, les consignes de sauvegarde, le signal d’alerte et les PPI. Pendant l’événement, il faut évacuer ou se confiner selon la nature du risque, se mettre à l’abri, s’informer par les médias officiels, ne pas aller chercher les enfants à l’école, ne pas téléphoner inutilement et ne pas encombrer les voies de secours. Après l’événement, il faut écouter les consignes, signaler les dangers observés, aider les voisins vulnérables et évaluer les dégâts en s’éloignant des points dangereux."
Risque événements météorologiques : définition et climat local,"événements météorologiques, tempête, orage, neige-verglas, canicule, sécheresse, Loire-Atlantique","Les événements météorologiques regroupent les phénomènes soumis à vigilance : vent violent, pluie-inondation, orages, neige-verglas, vague de chaleur, vague de froid, ainsi que les épisodes de sécheresse. En Loire-Atlantique, le climat est tempéré océanique, caractérisé par une grande douceur, des températures moyennes de 6 à 9 °C l’hiver et de 17 à 20 °C l’été, un ensoleillement approchant 1 900 heures par an et une pluviométrie annuelle variant approximativement de 700 mm près des côtes à 980 mm dans le centre du département."
Tempêtes et vents violents en Loire-Atlantique,"tempête, vent violent, tornade, surcote, dégâts, Xynthia","Une tempête est une manifestation météorologique étendue associée à une perturbation et caractérisée par des rafales maximales, une durée et une large zone affectée. En Loire-Atlantique, les tempêtes se traduisent par des vents violents, de fortes pluies, des vagues importantes et parfois des modifications du niveau normal de la marée pouvant produire une surcote. Le département a été marqué par plusieurs épisodes majeurs, dont les tempêtes de 1990, 1999, Xynthia en 2010, Joachim en 2011 et plusieurs tempêtes en 2023. Toutes les communes sont exposées au risque tempête-vent violent."
"Orages, neige-verglas, vagues de chaleur et sécheresse","orage, foudre, neige, verglas, canicule, vague de froid, sécheresse, eau potable","Les orages provoquent éclairs, tonnerre, fortes pluies, rafales et parfois grêle. Ils peuvent causer incendies, destructions électriques, ruissellements et coulées de boue. Les épisodes neige-verglas sont plus rares en Loire-Atlantique mais peuvent isoler des hameaux, interrompre les transports et rendre la circulation dangereuse. Les vagues de chaleur constituent un enjeu émergent préoccupant en lien avec le changement climatique, avec des températures pouvant atteindre 42 °C comme en 2022. Les vagues de froid exposent aux pathologies liées au froid et aux intoxications au monoxyde de carbone. La sécheresse affecte l’alimentation en eau potable, les usages économiques et les milieux aquatiques ; entre 2020 et 2023, 57 arrêtés de restriction d’usage de l’eau ont été pris dans le département."
Caractéristiques spécifiques des contextes violents,"caractéristiques, contexte violent, danger, instabilité, accès, ressources limitées","Les contextes de violence se distinguent par l’insécurité, l’imprévisibilité, les risques pour les victimes et les secouristes, les difficultés d’accès, les moyens réduits, la désorganisation et la nécessité de prendre des décisions rapides dans un environnement mouvant."
Plans de préparation : en général,"planification, anticipation, organisation, ressources, coordination, crise","En temps ordinaire, la préparation consiste à prévoir les scénarios possibles, organiser les ressources, clarifier les responsabilités et mettre en place des dispositifs facilitant une réponse rapide et coordonnée lorsque la crise survient."
Plans de préparation : phase de mobilisation,"mobilisation, alerte, départ, briefing, activation, préparation opérationnelle","Pendant la mobilisation, les secouristes doivent être informés, équipés, briefés et orientés. Cette phase vise à assurer un départ rapide mais structuré, en tenant compte des risques, des objectifs et des moyens disponibles."
Faire face au stress,"stress, charge mentale, fatigue, trauma, récupération, résilience","Les situations violentes exposent les secouristes au stress aigu, à la fatigue, à la surcharge émotionnelle et à l’impact psychologique des scènes observées. Il est nécessaire d’apprendre à reconnaître ces effets, à les gérer et à préserver sa capacité d’action."
Soins aux victimes : objectifs et responsabilités,"soins, victimes, objectifs, responsabilités, prise en charge, secours","Les soins aux victimes visent à sauver la vie, prévenir l’aggravation, soulager la souffrance et préparer la suite de la chaîne des soins. Les responsabilités du secouriste s’exercent dans les limites de sa mission, de sa formation et de la sécurité disponible."
Contexte de soins : menaces,"menaces, tirs, explosions, instabilité, sécurité, danger","Le contexte de soins peut comporter des menaces directes : tirs, explosions, incendies, effondrements, mouvements de foule, contaminants ou dangers résiduels. Toute prise en charge doit tenir compte de ces risques avant et pendant l’intervention."
Contexte de soins : problèmes de santé spécifiques,"traumatismes, blessures, violence, santé, urgence, lésions","Les victimes rencontrées en contexte de violence présentent souvent des traumatismes complexes, des hémorragies, des blessures pénétrantes, des fractures, des brûlures, des troubles respiratoires ou des états de choc. Le secouriste doit savoir repérer et prioriser ces atteintes."
Votre approche sur place,"approche, arrivée sur place, observation, priorités, premiers gestes, décision","À l’arrivée sur le lieu d’intervention, le secouriste doit observer, se protéger, analyser la scène, identifier les dangers, évaluer les besoins immédiats, demander de l’aide si nécessaire et engager les premiers gestes adaptés sans se précipiter."
Gestion de la situation : cadre général,"gestion de la situation, décision, sécurité, priorités, coordination, intervention","La gestion de la situation regroupe l’ensemble des décisions et actions permettant d’intervenir de façon structurée : sécurité, protection, évaluation du nombre de victimes, appel à l’aide, alerte et choix des priorités de prise en charge."
Sécurité : principes de base,"sécurité, gestion des risques, intervention, menaces, prudence, protection","La sécurité est un principe central. Il faut évaluer les risques, ne pas intervenir aveuglément, éviter d’ajouter des victimes, adapter son action à la menace et intégrer la sécurité à chaque étape de la prise en charge."
Sécurité personnelle du secouriste,"sécurité personnelle, auto-protection, exposition, prudence, équipement, vigilance","Le secouriste doit d’abord protéger sa propre vie et celle de son équipe. Cela suppose vigilance, maîtrise de soi, usage approprié de l’équipement, lecture du terrain et capacité à différer ou limiter l’action lorsque le danger l’impose."
Évaluation des conditions de sécurité sur le lieu d’intervention,"évaluation, scène, danger, environnement, accès, retrait","L’évaluation de la scène consiste à repérer les menaces, les accès, les obstacles, les points d’abri, les risques persistants et les éléments susceptibles d’aggraver la situation. Elle guide la décision d’entrer, de rester, d’évacuer ou de modifier le dispositif."
Protection des victimes,"protection des victimes, mise à l’abri, exposition, danger, prévention","Avant même certains soins, il peut être nécessaire de réduire l’exposition de la victime au danger. La protection implique d’éviter l’aggravation, de limiter les risques immédiats et de préparer un dégagement ou une mise en sécurité lorsque cela est possible."
Dégagements d’urgence,"dégagement d’urgence, extraction, déplacement, menace immédiate, sécurité","Le dégagement d’urgence consiste à déplacer rapidement une victime lorsqu’un danger grave et immédiat l’exige. Cette manœuvre doit rester exceptionnelle, proportionnée au risque et réalisée de la façon la moins dangereuse possible."
Une ou plusieurs victimes ?,"nombre de victimes, priorisation, intervention, ressources, situation multiple","Le secouriste doit rapidement déterminer s’il fait face à une victime isolée ou à plusieurs victimes. Cette distinction modifie les priorités, les besoins d’aide, la méthode d’évaluation et la manière de répartir les ressources disponibles."
Trouver de l’aide,"recherche d’aide, renfort, coordination, assistance, ressources, soutien","Lorsque la situation dépasse les capacités immédiates du secouriste, il faut rechercher de l’aide rapidement. Cela peut concerner des renforts humains, du matériel, des moyens d’évacuation, une sécurisation de zone ou un relais médical."
Donner l’alerte,"alerte, message d’urgence, transmission, localisation, besoins, coordination","Donner l’alerte consiste à transmettre rapidement les informations essentielles : nature de l’événement, lieu, dangers, nombre de victimes, état des blessés et moyens nécessaires. Une alerte claire améliore fortement l’efficacité de la réponse."
Prise en charge des victimes : logique d’ensemble,"prise en charge, victimes, examen initial, stabilisation, techniques, soins","La prise en charge suit une logique graduée : examen initial, gestes d’urgence vitale, examen complet, mesures de stabilisation, adaptation aux cas particuliers et préparation de la suite des soins."
Examen initial et gestes d’urgence vitale,"examen initial, ABCDE, urgence vitale, priorisation, survie, prise en charge",L’examen initial vise à identifier et traiter immédiatement les détresses vitales. Il suit une logique structurée centrée sur les fonctions essentielles et permet de hiérarchiser les interventions avant tout examen détaillé.
Voies aériennes : évaluation et prise en charge,"voies aériennes, airway, obstruction, respiration, dégagement, liberté aérienne","L’évaluation des voies aériennes consiste à vérifier qu’elles sont libres et que l’air peut circuler. En cas d’obstruction ou de risque d’obstruction, le secouriste doit entreprendre les gestes appropriés pour rétablir ou maintenir la perméabilité des voies aériennes."
Respiration : évaluation et prise en charge,"respiration, ventilation, détresse respiratoire, observation, assistance, oxygénation","L’évaluation de la respiration permet de repérer une détresse respiratoire ou une ventilation insuffisante. La prise en charge vise à soutenir la respiration, à réduire les facteurs aggravants et à identifier rapidement les blessures ou situations menaçant l’oxygénation."
Circulation : évaluation et prise en charge des hémorragies visibles,"circulation, hémorragie, saignement, choc, compression, urgence",L’évaluation de la circulation comprend la recherche des hémorragies visibles et des signes d’atteinte circulatoire. Le contrôle rapide des saignements massifs est une priorité absolue pour prévenir l’état de choc et le décès.
Exposition / extrémités : évaluation et prise en charge,"exposition, extrémités, inspection, blessures, membres, protection thermique","L’exposition permet de rechercher des blessures cachées, d’examiner les extrémités et d’apprécier l’état général. Elle doit rester contrôlée pour éviter d’aggraver la situation, notamment par perte de chaleur ou surexposition au danger."
Examen complet et mesures de stabilisation,"examen complet, stabilisation, lésions, réévaluation, surveillance, trauma","Après les gestes vitaux, l’examen complet permet d’identifier les autres blessures et de mettre en œuvre des mesures de stabilisation. Il s’accompagne d’une surveillance continue et d’une réévaluation régulière."
Blessures à la tête et au cou : évaluation et prise en charge,"tête, cou, traumatisme crânien, cervicales, neurologie, stabilisation","Les blessures à la tête et au cou présentent des risques importants : atteinte neurologique, voie aérienne compromise, lésions cervicales. L’évaluation et la prise en charge doivent être prudentes, structurées et orientées vers la prévention de l’aggravation."
Blessures thoraciques : évaluation et prise en charge,"thorax, respiration, traumatisme thoracique, ventilation, douleur, urgence","Les blessures thoraciques peuvent compromettre rapidement la respiration et la circulation. Le secouriste doit savoir repérer les signes de gravité, adapter le positionnement, traiter ce qui est accessible à son niveau et préparer une évacuation appropriée."
Blessures à l’abdomen : évaluation et prise en charge,"abdomen, traumatisme abdominal, douleur, hémorragie interne, surveillance, choc","Les blessures abdominales peuvent être trompeuses et s’aggraver silencieusement. La prise en charge repose sur l’observation, la surveillance, la prévention de l’aggravation et l’orientation rapide vers un niveau de soins supérieur."
Blessures au dos du thorax et de l’abdomen,"dos, thorax postérieur, abdomen postérieur, blessures dorsales, évaluation, stabilisation","Les blessures situées au dos du thorax et de l’abdomen peuvent être moins visibles mais graves. Leur recherche nécessite un examen méthodique et prudent, avec attention portée à la douleur, à la respiration, aux saignements et aux signes généraux."
Blessures aux membres : évaluation et prise en charge,"membres, fractures, plaies, circulation périphérique, immobilisation, douleur","Les blessures des membres incluent plaies, fractures, écrasements ou amputations. L’évaluation doit rechercher douleur, déformation, saignement, atteinte nerveuse ou vasculaire, et la prise en charge vise à contrôler les risques et limiter les mouvements."
Plaies : évaluation et prise en charge,"plaies, pansement, hémorragie, infection, nettoyage, protection","Les plaies nécessitent une évaluation de leur gravité, de leur localisation, du saignement et du risque infectieux. La prise en charge consiste à protéger, couvrir, contrôler le saignement et préparer la suite des soins."
Cas spéciaux : vue d’ensemble,"cas spéciaux, adaptation, risques particuliers, contexte, conduite à tenir","Certains événements imposent des procédures ou précautions particulières. Le manuel distingue plusieurs cas spéciaux pour lesquels les risques, les gestes possibles et les priorités diffèrent des situations de trauma classique."
Mines antipersonnel et autres restes explosifs de guerre,"mines, UXO, restes explosifs, danger résiduel, sécurité, intervention","Les mines antipersonnel et autres restes explosifs de guerre rendent l’intervention extrêmement dangereuse. La sécurité prime, les déplacements doivent être strictement contrôlés et toute action de secours doit tenir compte du risque d’explosion secondaire."
Gaz lacrymogènes,"gaz lacrymogènes, irritants, respiration, yeux, exposition, foule","L’exposition aux gaz lacrymogènes provoque des irritations oculaires, respiratoires et cutanées. Le secouriste doit savoir limiter l’exposition, rassurer, aider à s’éloigner de la zone contaminée et prendre en charge les effets immédiats."
Les mourants et les morts,"mourants, morts, dignité, accompagnement, respect, humanité","Le secouriste peut être confronté à des personnes mourantes ou décédées. Le manuel rappelle l’importance du respect, de la dignité, de l’accompagnement humain et d’une attitude adaptée face à la mort dans un contexte de crise."
Arrêt cardiaque,"arrêt cardiaque, réanimation, urgence, circulation, survie, prise en charge","L’arrêt cardiaque constitue une urgence extrême. Le secouriste doit reconnaître rapidement cette situation et mettre en œuvre les gestes appropriés selon son niveau de formation, les moyens disponibles et les contraintes du contexte."
Situations impliquant de nombreuses victimes : opérations de triage,"triage, nombreuses victimes, priorisation, catastrophe, ressources, organisation","Lorsqu’il y a de nombreuses victimes, le triage permet de classer les personnes selon la gravité, l’urgence et les chances de bénéfice des soins disponibles. Cette logique vise à sauver le plus grand nombre avec des ressources limitées."
Après les soins sur place : point de rassemblement des victimes,"point de rassemblement, regroupement, suivi, chaîne des soins, organisation, victimes","Après la prise en charge initiale, les victimes peuvent être orientées vers un point de rassemblement où leur état est surveillé, les informations sont consolidées et la suite de la chaîne des soins est organisée."
Transport / évacuation : conditions préalables,"transport, évacuation, conditions préalables, stabilisation, sécurité, décision","Avant d’évacuer une victime, il faut s’assurer que les conditions minimales sont réunies : niveau de stabilisation acceptable, sécurité du trajet, disponibilité d’un moyen adapté, coordination avec les relais de soins et préparation du transport."
Transport / évacuation : moyens et techniques,"transport, évacuation, brancard, portage, techniques, déplacement","Le transport des victimes doit utiliser des moyens et techniques adaptés à l’état du blessé, au terrain, à la sécurité et aux ressources disponibles. Le choix du mode de transport influence directement le risque d’aggravation."
Repos et détente,"repos, détente, récupération, fatigue, équilibre, prévention","Le repos et la détente sont nécessaires après une intervention éprouvante. Ils permettent de récupérer physiquement et mentalement, de prévenir l’usure et de restaurer la disponibilité du secouriste pour les missions suivantes."
Formation aux premiers secours comme action de résilience,"formation, premiers secours, diffusion des compétences, résilience, prévention, communauté","Former les populations aux premiers secours renforce la résilience locale, améliore la capacité de réponse immédiate et diffuse des compétences utiles dans des contextes où les secours professionnels peuvent être retardés ou insuffisants."
Techniques : gestes d’urgence vitale,"techniques, gestes vitaux, pratique, protocole, urgence, secourisme","La partie technique du manuel détaille les gestes d’urgence vitale, leur logique, leurs indications et la manière de les réaliser dans des conditions de terrain potentiellement hostiles ou dégradées."
Techniques : voies aériennes,"technique, voies aériennes, pratique, ouverture, dégagement, obstruction","Les techniques concernant les voies aériennes portent sur l’évaluation, l’ouverture, le dégagement et le maintien de la liberté aérienne selon l’état de la victime et les moyens du secouriste."
Techniques : respiration,"technique, respiration, ventilation, observation, assistance, détresse","La partie technique sur la respiration décrit comment observer, reconnaître et prendre en charge les troubles respiratoires, dans la limite des compétences et du matériel disponible."
Techniques : circulation et hémorragies visibles,"technique, circulation, hémorragie, compression, saignement, contrôle",Les techniques de contrôle des hémorragies visibles sont centrales en secourisme de guerre ou de violence. Elles visent à limiter rapidement la perte sanguine et à préserver les chances de survie.
Techniques : incapacités,"technique, neurologique, conscience, évaluation, atteinte, surveillance",La partie technique consacrée aux incapacités détaille l’évaluation de l’état neurologique et la manière d’interpréter certains signes d’atteinte fonctionnelle ou de dégradation.
Techniques : exposition et extrémités,"technique, exposition, extrémités, inspection, protection, examen","Les techniques liées à l’exposition et aux extrémités aident à compléter l’examen sans perdre de vue la sécurité, la protection thermique et la nécessité d’un examen méthodique du corps."
Techniques de stabilisation : vue d’ensemble,"techniques de stabilisation, lésions, traumatismes, surveillance, immobilisation, prise en charge","Les techniques de stabilisation complètent les gestes vitaux en visant à limiter l’aggravation des lésions, à réduire certains risques immédiats et à préparer l’évacuation ou la poursuite des soins."
Technique de stabilisation : tête et cou,"technique, tête, cou, cervicales, traumatisme, immobilisation","Les techniques concernant la tête et le cou insistent sur la prudence, la surveillance neurologique, le maintien des fonctions vitales et la limitation des mouvements susceptibles d’aggraver une lésion."
Technique de stabilisation : thorax,"technique, thorax, respiration, blessure thoracique, stabilisation, urgence","La stabilisation des blessures thoraciques vise à réduire la gêne respiratoire, reconnaître les signes de gravité et maintenir la victime dans les meilleures conditions possibles avant relais."
Technique de stabilisation : abdomen,"technique, abdomen, douleur, trauma abdominal, surveillance, stabilisation","Les blessures abdominales exigent une grande vigilance. La stabilisation porte sur la surveillance, la limitation des aggravations et la préparation d’une évacuation adaptée."
Technique de stabilisation : dos du thorax et de l’abdomen,"technique, dos, thorax, abdomen, examen, blessure dorsale","Les lésions postérieures doivent être recherchées systématiquement lorsque cela est possible, car elles peuvent passer inaperçues tout en présentant une gravité importante."
Technique de stabilisation : membres,"technique, membres, fracture, immobilisation, plaies, circulation périphérique","Les techniques relatives aux membres visent à protéger les lésions, contrôler le saignement, limiter les mouvements, surveiller la circulation et préparer le transport dans de bonnes conditions."
Technique de stabilisation : plaies,"technique, plaies, pansement, recouvrement, saignement, protection","Les techniques de prise en charge des plaies détaillent comment protéger, couvrir, contrôler les saignements et limiter les risques d’aggravation ou de contamination."
Préserver les documents importants,"documents, numérisation, sauvegarde, évacuation, administratif","Rassembler et numériser pour tous les membres du foyer : passeport, carte d’identité, carte vitale, permis, livret de famille, contrat de mariage si applicable, dossier médical, coordonnées bancaires/RIB, actes de propriété, références d’assurances et mutuelles, photos du domicile intérieur/extérieur. Stocker les copies numériques sur au moins deux clés USB conservées dans des lieux sûrs. Prévoir aussi des photocopies dans une pochette étanche pour le sac d’évacuation."
Numériser et stocker les documents en sécurité,"documents, scan, stockage, sauvegarde","Pour numériser rapidement les documents, utiliser une application de scan mobile puis enregistrer les copies en local ou par e-mail. Prévoir plusieurs supports de stockage séparés. Le guide déconseille de dépendre d’un chiffrement qui pourrait rendre l’accès aux données impossible en cas de bug ; l’objectif est d’assurer l’accessibilité rapide en situation d’urgence."
Constituer un fonds d’urgence en liquide,"argent liquide, fonds d'urgence, paiement, autonomie bancaire","Mettre de côté assez d’argent liquide pour tenir au moins deux semaines sans carte bancaire, idéalement l’équivalent d’un mois de salaire minimum. Répartir cette réserve dans plusieurs systèmes de secours, par exemple par liasses de petites coupures dans le sac d’évacuation et dans une cache au domicile. L’objectif est de limiter la dépendance au système bancaire et de pouvoir payer en cas de panne, perte de carte ou indisponibilité des distributeurs."
Principes du sac d’évacuation,"sac d'évacuation, urgence, évacuation, préparation familiale","Le sac d’évacuation doit permettre un départ précipité avec les documents essentiels et du matériel utile pour différents scénarios d’urgence. Il doit exister en plusieurs exemplaires selon les lieux de vie : maison, travail, voiture si besoin. Prévoir un sac d’environ 40 L par personne, sans surcharge, et adapter le contenu aux besoins spécifiques de chaque membre de la famille, notamment bébés, femmes et personnes sous traitement."
Administratif à mettre dans le sac d’évacuation,"sac d'évacuation, documents, clés, numéros utiles","Inclure dans chaque sac : copies des documents administratifs importants sur USB et papier, argent liquide en petites coupures avec un minimum de 500 €, doubles des clés du domicile, du point de chute et du véhicule si nécessaire, bloc-notes, stylo et liste papier des numéros de téléphone importants."
Santé et hygiène dans le sac d’évacuation,"sac d'évacuation, santé, hygiène, médicaments, premiers secours","Prévoir dans le sac : lunettes de rechange si nécessaire, médicaments courants et traitements personnels, trousse de secours compacte, couverture de survie, gel hydroalcoolique, papier toilette, papier absorbant, sacs poubelles de 30 L, brosse à dents et dentifrice. Si un traitement ne peut pas être stocké dans le sac, marquer visiblement le sac pour ne pas l’oublier au départ."
Vêtements à prévoir dans le sac d’évacuation,"sac d'évacuation, vêtements, protection contre la pluie, saison","Prévoir un change complet adapté à la saison : sous-vêtements, pantalon, t-shirt, pull, poncho de pluie, gants, bonnet chaud ou casquette légère, tour de cou, ainsi qu’une paire de chaussures solides et confortables placée à proximité du sac. Mettre les vêtements et tout ce qui craint l’eau dans des sacs étanches si des conditions humides sont probables."
Hydratation dans le sac d’évacuation,"sac d'évacuation, eau, hydratation, filtration","Prévoir une gourde filtrante remplie, une gourde souple de 2 litres vide et une poche à eau souple de 5 à 10 litres vide. L’objectif est d’avoir à la fois une capacité d’eau immédiate et des contenants supplémentaires pour le remplissage en déplacement."
"Éclairage, feu et recharge d’urgence dans le sac","sac d'évacuation, éclairage, feu, batterie, panneau solaire","Prévoir des moyens redondants : briquets, allumettes étanches, lampe frontale, bâtons lumineux, batterie de secours pour téléphone et panneau solaire portable. Ces éléments permettent de conserver lumière, feu et communications même en absence prolongée d’électricité."
Outils et alimentation dans le sac d’évacuation,"sac d'évacuation, outils, radio, alimentation, autonomie","Ajouter un couteau multifonction, un outil polyvalent, une clé technique universelle, une radio solaire ou dynamo compacte, de la paracorde et du ruban adhésif renforcé. Côté alimentation, prévoir trois rations de survie, un couvert compact et plusieurs barres énergétiques. Stocker ensuite le sac dans un endroit accessible, à l’abri d’une destruction rapide."
